Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Terrace Area,Garden Area,Surface of the land,Number of facades,State of the building,Furnished,Terrace,Garden,Swimming pool
Froidchapelle,house,chalet,100000,Normal sale,2,50,6,250,250,4,Excellent,0,1,1,0
Moorslede,house,residence,80000,Normal sale,4,134,,,126,2,,0,1,1,0
Montignies-sur-Sambre,house,residence,89000,Normal sale,2,84,,,345,3,To be renovated,0,0,1,0
Erquelinnes,house,residence,90000,Normal sale,3,136,,,350,,To be renovated,0,1,1,0
Marchienne-au-Pont,house,residence,79000,Normal sale,2,230,,,79,2,To be renovated,0,0,1,0
